PID,SalePrice,Lot Area,Street,Alley,Lot Config,Land Slope,County,State,District_ID,Bldg Type,Overall Cond,Year Built,Year Remod/Add,Exterior,Exter Cond,Bsmt Unf SF,Total Bsmt SF,Central Air,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Garage Type,Garage Cars,Open Porch SF,Enclosed Porch,Pool Area,Fence,Sale Condition
707309803,454700,47007,Pave,NA,Inside,Gtl,Kane,UT,38,1Fam,7,1959,1996,Plywood,TA,0,0,Y,3820,0,3820,na,na,3,1,5,11,2,Attchd,2,372,0,0,NA,Normal
414990822,454700,47007,Pave,NA,Inside,Gtl,Minidoka,ID,38,1Fam,7,1959,1996,Plywood,TA,0,0,Y,3820,0,3820,na,na,3,1,5,11,2,Attchd,2,372,0,0,NA,Normal
182740062,454700,47007,Pave,NA,Inside,Gtl,Crook,WY,38,1Fam,7,1959,1996,Plywood,TA,0,0,Y,3820,0,3820,na,na,3,1,5,11,2,Attchd,2,372,0,0,NA,Normal
722585852,313000,25095,Pave,NA,Inside,Sev,Cache,UT,24,1Fam,8,1968,2003,Wd Sdng,TA,113,1437,Y,1473,0,1473,2,0,1,0,1,5,2,Attchd,1,48,60,0,NA,Partial
429390545,313000,25095,Pave,NA,Inside,Sev,Benewah,ID,24,1Fam,8,1968,2003,Wd Sdng,TA,113,1437,Y,1473,0,1473,2,0,1,0,1,5,2,Attchd,1,48,60,0,NA,Partial
195161184,313000,25095,Pave,NA,Inside,Sev,Carbon,WY,24,1Fam,8,1968,2003,Wd Sdng,TA,113,1437,Y,1473,0,1473,2,0,1,0,1,5,2,Attchd,1,48,60,0,NA,Partial
821211481,785000,12720,***,NA,Inside,Mod,Salt Lake,UT,71,1Fam,5,2003,2003,MetalSd,TA,278,2535,Y,2470,0,2470,2,0,1,1,1,7,2,Attchd,3,65,216,144,NA,Normal
400022113,785000,12720,Pave,NA,Inside,Mod,Franklin,ID,71,1Fam,5,2003,2003,MetalSd,TA,278,2535,Y,2470,0,2470,2,0,1,1,1,7,2,Attchd,3,65,216,144,NA,Normal
752836536,615000,15274,Pave,NA,Corner,Gtl,Salt Lake,UT,71,1Fam,5,2003,2003,VinylSd,TA,480,2452,Y,2452,0,2452,2,0,2,0,3,10,1,Attchd,3,116,0,0,MnPrv,Normal
536148445,615000,15274,Pave,NA,Corner,Gtl,Franklin,ID,71,1Fam,5,2003,2003,VinylSd,TA,480,2452,Y,2452,0,2452,2,0,2,0,3,10,1,Attchd,3,116,0,0,MnPrv,Normal
